LogicalDesignator,ManufacturerPartNumber,Manufacturer,Note,PhysicalPath,FunctionalGroupTitle,ApprovedBy,DocumentNumberE3,FirstApply,Author,Organization,NormInspection,Title,CheckedBy
"R35","RC0603JR-073M3L","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R36","RC0603JR-071ML","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R37","RC0603FR-070RL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R38","RC0603FR-070RL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R39","RC0603FR-070RL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R40","RC0603FR-070RL","фирма "Yageo"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R41","RC0603JR-0715KL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R42","RC0603JR-0715KL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R43","RC0603JR-0715KL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R44","RC0603JR-0715KL","фирма "Yageo"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R45","RC0603JR-0718KL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R46","RC0603FR-070RL","фирма "Yageo"","Не уст.","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R47","RC0603FR-070RL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R48","RC0603FR-070RL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R49","RC0603JR-07180KL","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R50","RC0603JR-076K8L","фирма "Yageo"","","main\A3","Схема управления вентиляторами","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C36","К73-17-400В-0,15мкФ±10%","фирма "Гириконд"","","main\A4","Схема индикации","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"C37","К73-17-400В-0,15мкФ±10%","фирма "Гириконд"","","main\A4","Схема индикации","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
"R51","MO-200 (С2-23) 2 Вт, 10 кОм, 5%","каталог  "Чип и Дип"","","main\A4","Схема индикации","Ярославский","МДТР.436618.001Э3","МДТР.436618.001","Максимов","ООО "НПК" ТИМ"","","Модуль питания и охлаждения",""
